link_AA,link_AB,link_AC,link_BA,link_BB,link_BC,link_CA,link_CB,link_CC,Q_value,is_adaptive,Q_LSODA,Q_Radau,stiff_flag,avg_sensitivity,avg_precision,max_sensitivity,max_precision,topo_motif
-1,1,-1,0,1,1,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,-1,0,1,1,1,0,0,1.0305648117173711,1.35813432282001,1.0305648117173711,1.35813432282001,IFFLP
-1,1,-1,0,1,1,1,-1,1,1,1,1,0,0,1.2469985140525879,0.9069133953948071,1.2469985140525879,0.9069133953948071,IFFLP
-1,1,-1,0,1,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,0,0,9.196696213200664,1.0621552806359031,9.196696213200664,1.0621552806359031,Both
-1,1,-1,1,-1,1,-1,-1,0,1,1,1,0,0,1.4672249847612682,1.4219250589279668,1.4672249847612682,1.4219250589279668,Both
-1,1,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,-1,1,0,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
